GENESIS-Tabelle: 12211-9018
Durchschnittliche Körpergröße, durchschnittliches;;;;;;;;
Körpergewicht, durchschn. Body-Mass-Index: Deutschland,;;;;;;;;
Jahre (bis 2017), Geschlecht, Familienstand, Altersgruppen;;;;;;;;
Mikrozensus;;;;;;;;
Deutschland;;;;;;;;
;;;2013;2013;2013;2017;2017;2017
;;;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index;Durchschnittliche Körpergröße;Durchschnittliches Körpergewicht;Durchschnittlicher Body-Mass-Index
;;;m;kg;kg/qm;m;kg;kg/qm
weiblich;geschieden;18 bis unter 20 Jahre;-;-;-;/;/;/
weiblich;geschieden;20 bis unter 25 Jahre;/;/;/;/;/;/
weiblich;geschieden;25 bis unter 30 Jahre;1,66;65,3;23,7;1,66;66,6;24,2
weiblich;geschieden;30 bis unter 35 Jahre;1,67;67,0;24,1;1,66;67,9;24,6
weiblich;geschieden;35 bis unter 40 Jahre;1,66;68,7;24,8;1,67;68,0;24,4
weiblich;geschieden;40 bis unter 45 Jahre;1,67;68,7;24,6;1,67;68,9;24,8
weiblich;geschieden;45 bis unter 50 Jahre;1,67;68,7;24,7;1,67;69,6;25,0
weiblich;geschieden;50 bis unter 55 Jahre;1,66;69,2;25,1;1,66;69,6;25,1
weiblich;geschieden;55 bis unter 60 Jahre;1,65;70,2;25,8;1,66;70,5;25,7
weiblich;geschieden;60 bis unter 65 Jahre;1,64;70,6;26,2;1,65;70,5;26,0
weiblich;geschieden;65 bis unter 70 Jahre;1,64;71,3;26,5;1,64;71,3;26,6
weiblich;geschieden;70 bis unter 75 Jahre;1,64;70,2;26,2;1,64;70,1;26,2
weiblich;geschieden;75 Jahre und mehr;1,62;68,4;26,2;1,62;68,6;26,1
weiblich;geschieden;Insgesamt;1,65;69,4;25,4;1,65;69,7;25,5
weiblich;Insgesamt;18 bis unter 20 Jahre;1,68;60,9;21,7;1,68;61,4;21,9
